CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;01;20.6;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;02;21.3;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;03;19.0;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;04;18.1;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;05;21.5;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;06;19.3;25.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;07;19.6;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;08;21.9;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;09;21.5;25.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;10;21.5;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;11;21.4;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;12;21.0;25.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;13;20.0;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;14;21.0;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;15;21.1;25.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;16;21.1;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;17;21.6;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;18;18.4;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;19;21.1;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;20;20.1;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;21;21.3;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;22;21.1;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;23;22.0;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;24;22.1;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;01;25;22.0;27.0
